INSEE,Latitude,Longitude
02434,49.5167,3.46667
02435,49.8333,4.2
02438,49.2667,3.21667
02439,49.3595,3.65278
02440,49.5333,4.05
02441,49.25,3.25
02442,49.25,3.53333
02443,49.05,3.28333
02444,49.7833,3.81667
02445,49.9333,3.96667
02446,49.7167,3.3
02447,49.2833,3.45
02448,49.6583,3.84167
02449,49.1667,3.23333
02450,49.8833,3.55
02451,49.9333,3.28333
02452,49.8833,3.2
02453,49.3833,3.73333
02454,49.5167,3.98333
02455,49.9,3.73333
02456,49.5667,3.16667
02457,49.5833,3.81667
02458,48.8833,3.48333
02459,49.8333,3.4
02460,49.7333,3.73333
02461,49.6,3.15
02462,49.25,3.55
02463,49.8,3.78333
02464,49.4333,3.4
02465,49.0667,3.21667
02466,49.1833,3.2
02467,49.1833,3.21667
02468,49.7333,3.76667
02469,49.9,3.8
02470,49.8667,4.13333
02471,49.4833,3.68333
02472,49.5333,3.8
02473,49.7,3.38333
02474,49.7,3.26667
02475,49.4167,4
02476,49.9833,3.55
02477,49.3833,3.28333
02478,49.5167,3.5
02479,49.35,3.7
02480,49.7,3.55
02481,49.8333,3.35
02482,49.35,3.76667
02483,49.7667,3.4
02484,49.0667,3.5
02485,49.3333,3.25
02486,49.6333,3.8
02487,49.3833,3.43333
02488,50.0167,3.51667
02489,49.5667,3.53333
02490,49.4833,3.56667
02491,49.7698,3.61584
02492,49.6667,3.48333
02493,49.6167,3.7
02494,49.9,3.7
02495,49.9667,4.06667
02496,49.15,3.21667
02497,49.5373,3.55334
02498,49.5333,3.83333
02499,49.5333,3.51667
02500,49.9667,3.35
02501,49.5167,3.73333
02502,49.6956,4.01723
02503,49.8333,3.48333
02504,49.7387,3.2575
02505,48.95,3.45
02506,49.3,3.15
02507,49.1833,3.33333
02508,49.4833,3.66667
02509,49.1,3.3
02510,49.0167,3.55
02511,49.9,3.48333
02512,49.1167,3.1
02513,49.6833,3.91667
02514,49.3667,3.1
02515,48.9833,3.56667
02516,49.75,3.8
02517,49.7167,3.58333
02518,48.9667,3.53333
02519,49.6667,4.06667
02520,49.3,3.58333
02521,49.0167,3.2
02522,49.7833,4.2
02523,49.2833,3.63333
02524,49.0667,3.48333
02525,49.8667,3.31667
02526,49.7667,4.06667
